num_followers,num_stars,forks,num_followings,username,num_repositories,stars_received
3,17,1,16,silvareal,21,10
21,7,0,506,MikeWang00,0,0
14,84,4,10,rafpyprog,22,40
25,11,52,23,kuri65536,3,128
19,0,0,153,haywardsupply,0,0
4,0,0,58,zahaymer,0,0
143,2000,23,2800,kroitor,28,437
11,8,3,22,ValentinHacker,4,7
4,2,2,1,I2NhbmloZWxweW91,10,2
2,0,0,22,yan1435,3,0
1,62,0,4,playwhyyza,6,0
173,2200,0,6000,rohithadassanayake,3,1
11,4,4,8,Yo-kai-Sei-shin-kage,7,16
5,0,0,57,rajeevsahu123,11,0
1,79,0,1,vshvydky,6,0
2,43,0,12,delsonlima,3,0
2,2,0,89,fronojono,14,0
2,1,0,4,rikosintie,7,2
2,0,0,2,Gamer10125,1,0
1,0,2,1,LegendaryDJ,3,0
2,0,0,2,Hemang77,1,0
1,0,0,1,MeetST,4,0
21,510,32,119,neelkadia,9,63
2,4,0,2,narenbakshi97,15,2
4,5,2,10,kprocks86,9,1
1,1,1,1,ketul16,4,2
1,0,0,3,aayushpatel76,2,2
2,0,0,2,siddharthpaliwal007,0,0
338,22,933,10,eriklindernoren,16,7427
11,9,12,6,arathee2,20,7
5,3,41,0,hejujie,17,59
40,5,183,0,hrastnik,16,611
1100,37,459,34,adeshpande3,29,1483
28,34,10,8,lext,17,21
892,62,2831,18,kjw0612,18,10104
131,80,8,0,thedeerchild,24,10
140,326,33,25,Eric-Gonzalez,26,84
255,10,123,6,earldouglas,12,474
17,223,46,26,HassenPy,25,328
7,8,41,2,James1345,11,198
6,12,12,3,doakey3,12,50
5,18,2,2,ssalonen,21,6
21,15,45,13,bw2,27,168
17,32,0,1,mlagerberg,7,14
144,0,728,1,kvhnuke,10,1008
66,15,30,1,mattdf,23,98
0,2,0,2,brodax,4,0
11,2,25,1,gusdan,3,85
340,307,1467,4,roughike,11,8104
199,11,743,0,josdirksen,17,1452
10,37,1,5,mogenson,21,21
8,2,0,2,colintoal,0,0
